"","family","species","network","corolla","nectar","color","colorCode","introduced","speciesOld"
"1017","Campanulaceae","Centropogon solanifolius","23, 75, 82, 81",42.24,18.32,"Red, Red, Red, Pink","3, 3, 3, 2","","Centropogon solanifolius"
"1018","Rubiaceae","Palicourea lasiorrhachis","23, 76",9.96,13.07,"Yellow, Yellow","1, 1","","Palicourea lasiorrhachis"
"1019","Gentianaceae","Macrocarpaea macrophylla","23, 83",51.5,NA,"","","",""
"1020","Orobanchaceae","Castilleja irasuensis","24, 25",10.9,NA,"Red/Green/Yellow, Red/Green/Yellow","2, 3","","Castilleja irasuensis"
"1021","Campanulaceae","Centropogon costaricae","24, 25",NA,NA,"Crimson, Crimson","3, 3","","Centropogon costaricae"
"1022","Campanulaceae","Centropogon talamancensis","24, 25",50.7,NA,"Crimson, Crimson","3, 3","","Centropogon talamancensis"
"1023","Campanulaceae","Centropogon valerii","24, 25",33.6,NA,"Red/Orange, Red/Orange","3, 3","","Centropogon valerii"
"1024","Onagraceae","Fuchsia splendens","24, 25",53,NA,"Red/Green/Yellow, Red/Green/Yellow","2, 2","","Fuchsia splendens"
"1025","Lamiaceae","Salvia carnea","24, 25",19.2,NA,"Magenta, Magenta","2, 2","","Salvia carnea"
"1026","Ericaceae","Vaccinium consanguineum","24, 25",6.2,NA,"White, White","1, 1","","Vaccinium consanguineum"
"1027","Ericaceae","Macleania rupestris","24, 25, 33, 36, 37, 38",20.02,18.75,"Red/White, Red/White, Red","2, 2, 3","","Macleania rupestris"
"1028","Asteraceae","Cirsium subcoriaceum","24, 25, 90",44.15,14.6,"White/Pink, White/Pink, Pink","1, 1, 2","","Cirsium subcoriaceum"
"1029","Ericaceae","Gaultheria erecta","24, 33, 38, 31",5.24,14.95,"Magenta, Red, Red","2, 3, 3","","Gaultheria erecta"
"1030","Loranthaceae","Gaiadendron punctatum","24, 33, 78",7.38,8.9,"Yellow, Yellow, Yellow","1, 1, 1","","Gaiadendron punctatum"
"1031","Ericaceae","Cavendishia pubescens","26, 27",25,16.9,"Pink, Pink","2, 2","","Cavendishia pubescens"
"1032","Rubiaceae","Manettia sabiceoides","26, 27",11,25.5,"White, White","1, 1","","Manettia sabiceoides"
"1033","Cannaceae","Canna indica","26, 28, 52",27.25,10.75,"Red, Red, Red","3, 3, 3","","Canna indica"
"1034","Alstroemeriaceae","Bomarea carderi","27, 30, 83",45.6,22.17,"Pink/Green, Red, Red","2, 3, 3","","Bomarea carderi"
"1035","Rubiaceae","Palicourea demissa","27, 35, 82, 81",22.7,15.38,"Purple/Pink, Yellow/Pink, Yellow/Pink","1, 1, 1","","Palicourea demissa"
"1036","Bromeliaceae","Guzmania squarrosa","27, 82",30,21,"White/Red/Yellow, White/Red/Yellow","2, 2","","Guzmania squarrosa"
"1037","Heliconiaceae","Heliconia griggsiana","28, 30, 83, 81, 84",42.9,24.9,"Green, Green, Red/Green, Green/Red","1, 1, 2, 2","","Heliconia griggsiana"
"1038","Fabaceae","Erythrina edulis","28, 81, 82",11.72,11.65,"Orange","3","","Erythrina edulis"
"1039","Fabaceae","Inga densiflora","28, 88",5.8,19.4,"White","1, 1","","Inga densiflora"
"1040","Passifloraceae","Passiflora mixta","29, 33",113,17.45,"Pink, Pink","2, 2","","Passiflora mixta"
"1041","Gesneriaceae","Columnea strigosa","29, 35, 82, 81, 83",37.77,21.72,"Orange, Orange, Orange, Orange, Orange","3, 3, 3, 3, 3","","Columnea strigosa"
"1042","Rubiaceae","Palicourea angustifolia","29, 75, 83, 84, 31",14.8,13.8,"Mauve, Purple, Violet, Purple, Violet","1,1, 1, 1, 1","","Palicourea angustifolia"
"1043","Apocynaceae","Pentalinon luteum","3, 15, 93",25.48,48.85,"Yellow with red/orange nectar guide stripes inside, Yellow with red/orange nectar guide stripes inside, Yellow with red/orange nectar guide stripes inside","1, 1, 1","","Pentalinon luteum"
"1044","Passifloraceae","Turnera ulmifolia","3, 17",8.82,25.9,"Yellow, Yellow","1, 1","","Turnera ulmifolia"
"1045","Gesneriaceae","Columnea dimidiata","30, 83",33.1,23.4,"Red, Red","3, 3","","Columnea dimidiata"
"1046","Heliconiaceae","Heliconia venusta","30, 83",42.6,24.6,"Pale green/Red, Red","2, 3","","Heliconia venusta"
"1047","Gesneriaceae","Kohleria inaequalis","30, 83",26.5,19.3,"Red, Red","3, 3","","Kohleria inaequalis"
"1048","Gesneriaceae","Kohleria affinis","30, 83, 82",36.8,26.4,"Pink, Pink, Pink","2, 2, 2","","Kohleria affinis"
"1049","Rubiaceae","Palicourea acetosoides","30, 83, 82, 81, 84",21.38,19.77,"Orange, Red/Yellow, Red/Yellow, Orange, Orange","3, 2, 2, 3, 3","","Palicourea acetosoides"
"1050","Gesneriaceae","Besleria quadrangulata","31, 32",9.07,10.96,"Orange","3","","Besleria quadrangulata"
"1051","Bromeliaceae","Cipuropsis delicatula","31, 32",14.8,NA,"Red/Yellow, Red/Yellow","2, 2","","Tillandsia delicatula"
"1052","Bromeliaceae","Pitcairnia lehmannii","31, 32",NA,8.96,"Red, Red","3, 3","","Pitcairnia lehmannii"
"1053","Ericaceae","Gaultheria insipida","33, 31",6.18,12,"Red, Red","3, 3","","Gaultheria insipida"
"1054","Bromeliaceae","Tillandsia complanata","33, 36, 37, 38, 82",20.76,22.05,"Purple, Purple","1, 1","","Tillandsia complanata"
"1055","Loranthaceae","Tristerix longibracteatus","33, 38, 78",26.3,13.66,"Red, Red/Yellow","3, 2","","Tristerix longebracteatus"
"1056","Columelliaceae","Desfontainia spinosa","33, 78",31.57,11.22,"Orange, Red","3, 3","","Desfontainia spinosa"
"1057","Ericaceae","Vaccinium floribundum","33, 78",5.18,20,"Pink, White","2, 1","","Vaccinium floribundum"
"1058","Ericaceae","Bejaria aestuans","33, 88",NA,NA,"White","1","","Bejaria aestuans"
"1059","Bromeliaceae","Aechmea contracta","34, 39",38.5,25.37,"Pink/Red/Yellow/White, Yellow/Red","2, 1","","Aechmea contracta"
"1060","Gesneriaceae","Drymonia semicordata","34, 48",47.95,28.9,"Yellow/Red, Yellow/Red","2, 2","","Drymonia semicordata"
"1061","Alstroemeriaceae","Bomarea pardina","35, 75, 77, 82, 81",42.79,19.75,"Red/White, Red/White, Red/White, Red/White","2, 2, 2, 2","","Bomarea pardina"
"1062","Ericaceae","Cavendishia tarapotana","35, 81",33,18.9,NA,NA,"","Cavendishia tarapotana"
"1063","Zingiberaceae","Renealmia sessilifolia","35, 81, 82",22.94,12.76,"Red/White, Red/White","2, 2","","Renealmia sessilifolia"
"1064","Gesneriaceae","Columnea medicinalis","35, 82",31.81,20.17,"Red/Green","2","","Columnea medicinalis"
"1065","Onagraceae","Fuchsia macrostigma","35, 82",63.38,15.25,"Red","3","","Fuchsia macrostigma"
"1066","Ericaceae","Psammisia ecuadorensis","35, 82",29,16.6,"Red/Yellow","2","","Psammisia ecuadorensis"
"1067","Ericaceae","Psammisia sodiroi","35, 82",15.93,18.42,"Red/Green","2","","Psammisia sodiroi"
"1068","Gesneriaceae","Columnea ciliata","35, 82, 81",42.52,NA,"Red, Red","3, 3","","Columnea ciliata"
"1069","Bromeliaceae","Guzmania jaramilloi","35, 82, 81",26.18,10.13,"Red/Yellow,Red/Yellow","2, 2","","Guzmania jaramilloi"
"1070","Bromeliaceae","Pitcairnia nigra","35, 82, 81",90,24.1,NA,NA,"","Pitcairnia nigra"
"1071","Ericaceae","Psammisia aberrans","35, 82, 81",21.85,17.91,"Pink/White, Pink/White","1, 1","","Psammisia aberrans"
"1072","Ericaceae","Psammisia ulbrichiana","35, 82, 81",26.83,20.23,"Red/White, Red/White","2, 2","","Psammisia ulbrichiana"
"1073","Gesneriaceae","Kohleria spicata","35, 83",18.3,NA,"Red","3","","Kohleria spicata"
"1074","Heliconiaceae","Heliconia burleana","35, 83, 82, 81",39.25,19.58,"Red/Yellow, Red/Yellow, Red/Green","2, 2, 2","","Heliconia burleana"
"1075","Malvaceae","Malvaviscus arboreus","35, 89, 88",NA,10.9,"Red, Red","3, 3","","Malvaviscus arboreus"
"1076","Alstroemeriaceae","Bomarea glaucescens","36, 37",16.27,NA,NA,NA,"","Bomarea glaucescens"
"1077","Solanaceae","Brugmansia sanguinea","36, 37",174.63,20.89,NA,NA,"","Brugmansia sanguinea"
"1078","Lamiaceae","Salvia hirta","36, 37",22.86,18.1,NA,NA,"","Salvia hirta"
"1079","Asteraceae","Barnadesia arborea","36, 37, 38",24.44,19.15,NA,NA,"","Barnadesia arborea"
"1081","Onagraceae","Fuchsia vulcanica","36, 37, 38",45.91,19.8,NA,NA,"","Fuchsia vulcanica"
"1082","Lamiaceae","Salvia corrugata","36, 37, 38",14.64,11.9,NA,NA,"","Salvia corrugata"
"1083","Solanaceae","Saracha quitensis","36, 37, 38",11.95,12.5,NA,NA,"","Saracha quitensis"
"1084","Violaceae","Viola arguta","36, 37, 38",6.51,12.5,NA,NA,"","Viola arguta"
"1086","Berberidaceae","Berberis lutea","36, 38, 78",5.43,25.69,"Yellow","1","","Berberis lutea"
"1087","Alstroemeriaceae","Bomarea multiflora","36, 83, 82",34.16,19,"Orange, Orange","3, 3","","Bomarea multiflora"
"1088","Asteraceae","Mutisia lehmannii","37, 36",29.33,19.5,NA,NA,"","Mutisia lehmannii"
"1089","Elaeocarpaceae","Vallea stipularis","37, 38",4.03,NA,NA,NA,"","Vallea stipularis"
"1090","Rosaceae","Rubus floribundus","38, 36",2,50,NA,NA,"","Rubus floribundus"
"1091","Proteaceae","Oreocallis grandiflora","38, 37, 36",7.37,14.8,NA,NA,"","Oreocallis grandiflora"
"1092","Heliconiaceae","Heliconia stricta","39, 42, 84",45.8,27.6,"Red, Red/White, Green/Red","3, 2, 2","","Heliconia stricta"
"1093","Lythraceae","Cuphea melvilla","39, 52, 54, 86",26.5,24,"Red, Red, Red, Red","3, 3, 3, 3","","Cuphea melvilla"
"1094","Lamiaceae","Salvia elegans","4, 12",26,21.4,"Red","3","","Salvia elegans"
"1095","Cactaceae","Tacinga inamoena","40, 41",24.79,22.6,"Red, Orange","3, 3","","Tacinga inamoena"
"1096","Bignoniaceae","Handroanthus impetiginosus","40, 41, 87",36.78,15.2,"Pink","2, 2, 2","","Handroanthus impetiginosus"
"1097","Malvaceae","Melochia tomentosa","40, 93",6.71,60.06,"Pink, Pink","2, 2","","Melochia tomentosa"
"1098","Bromeliaceae","Hohenbergia ridleyi","41, 43",9.53,24.25,"Purple/Red, Purple/Red","2, 2","","Hohenbergia ridleyi"
"1099","Fabaceae","Bionia coriacea","41, 43, 45, 51, 50, 52",26.7,27.76,"Red, Red, Red, Red, Red","3, 3, 3, 3, 3","","Camptosema coriaceum"
"1100","Bignoniaceae","Fridericia erubescens","41, 44",45.17,25.85,"Red, Orange","3, 3","","Fridericia erubescens"
"1101","Malvaceae","Helicteres velutina","41, 44",20.4,21.5,"Red, Red","3, 3","","Helicteres velutina"
"1102","Loranthaceae","Psittacanthus cordatus","41, 54",32.485,20.6,"Orange, Red","3, 3","","Psittacanthus cordatus"
"1103","Rubiaceae","Manettia cordifolia","43, 45, 52, 62, 67, 92, 86",45.03,19.7,"Red, Red, Red, Red, Red, Red","3, 3, 3, 3, 3, 3","","Manettia cordifolia"
"1104","Rubiaceae","Palicourea marcgravii","43, 52, 85",17.97,20.8,"Purple/Red, Purple/Red, Red","2, 2, 3","","Palicourea marcgravii"
"1105","Bromeliaceae","Neoregelia bahiana","43, 53",40.9,36.1,"Purple/Red, Lilac","2, 1","","Neoregelia bahiana"
"1106","Lythraceae","Cuphea ericoides","43, 53, 85",7.8,49.75,"Lilac, Purple, Violet","1, 1, 1","","Cuphea ericoides"
"1107","Amaryllidaceae","Hippeastrum aulicum","43, 60, 73",97.7,11.7,"Red, Red","3, 3","","Hippeastrum aulicum"
"1108","Bromeliaceae","Aechmea bromeliifolia","43, 85",11.5,15.9,"Yellow/Red, Red","2, 3","","Aechmea bromeliifolia"
"1109","Ericaceae","Gaylussacia virgata","43, 85",7.33,26.83,"White, White","1, 1","","Gaylussacia virgata"
"1110","Fabaceae","Periandra mediterranea","43, 85",NA,NA,"Purple, Violet","1, 1","","Periandra mediterranea"
"1111","Apocynaceae","Prestonia coalita","44, 52",2.3,26.9,"Orange, Yellow","2, 1","","Prestonia coalita"
"1112","Bignoniaceae","Pyrostegia venusta","44, 60, 62, 92, 86",33.75,24.97,"Orange, Orange, Orange, Orange, Orange","3, 3, 3, 3, 3","","Pyrostegia venusta"
"1113","Bignoniaceae","Zeyheria montana","45, 52",26.7,17.9,"Yellow, Yellow","1, 1","","Zeyheria montana"
"1114","Bromeliaceae","Vriesea carinata","47, 60, 62, 69, 70, 73",34.11,19.17,"Yellow/Red, Yellow/Red, Yellow/Red, Yellow/Red, Yellow/Red","2, 2, 2, 2, 2","","Vriesea carinata"
"1115","Bromeliaceae","Vriesea ensiformis","47, 64, 65, 66, ,68, 69, 70, 91, 92",44.47,24.38,"Red/Yellow, Red/Yellow, Red/Yellow, Red/Yellow, Red/Yellow, Red/Yellow, Red/Yellow, Red/Yellow, Red/Yellow","2, 2, 2, 2, 2, 2, 2, 2, 2","","Vriesea ensiformis"
"1116","Rubiaceae","Palicourea guianensis","48, 75",22.54,NA,"Yellow/Orange, Yellow/Orange","2, 2","","Palicourea guianensis"
"1118","Lamiaceae","Salvia circinnata","5, 7",14.59,NA,"Violet","1","","Salvia circinnata"
"1119","Lamiaceae","Salvia microphylla","5, 7",14.29,NA,"Pink/Red","2","","Salvia microphylla"
"1120","Caryophyllaceae","Silene laciniata","5, 7",26.5,27.6,"Red","3","","Silene laciniata"
"1121","Rubiaceae","Bouvardia ternifolia","5, 7, 9, 11, 12",22.04,18.23,"Red/Orange, Red flowers change color from scarlet to pale red or pink, Scarlet-pink, Scarlet-pink","3, 3, 3, 3","","Bouvardia ternifolia"
"1122","Fabaceae","Bowdichia virgilioides","50, 51, 52",NA,23.9,"Purple, Purple, Purple","1, 1, 1","","Bowdichia virgilioides"
"1123","Vochysiaceae","Qualea parviflora","50, 51, 52, 57",9.97,41.4,"Purple, Purple, Pink, Purple","1, 1, 2, 1","","Qualea parviflora"
"1124","Styracaceae","Styrax ferrugineus","50, 51, 52, 57",18.02,40.2,"White,, White, Yellow, Yellow/White","1, 1, 1, 1","","Styrax ferrugineus"
"1125","Rubiaceae","Palicourea rigida","50, 51, 52, 85",15.1,19.99,"Yellow, Orange, Orange, Yellow","1, 2, 2, 1","","Palicourea rigida"
"1126","Vochysiaceae","Qualea multiflora","50, 51, 52, 86",10.47,28.78,"White, Yellow/White, Yellow/White, White/Yellow","1, 1, 1, 1","","Qualea multiflora"
"1127","Caryocaraceae","Caryocar brasiliense","50, 51, 52, 86, ",5.61,28.05,"Cream, White, Cream, White","1, 1, 1, 1","","Caryocar brasiliense"
"1128","Vochysiaceae","Qualea grandiflora","50, 52",NA,27.08,"Yellow, Yellow","1, 1","","Qualea grandiflora"
"1129","Vochysiaceae","Salvertia convallariodora","50, 52",NA,26.29,"White, White","1, 1","","Salvertia convallariodora"
"1130","Bignoniaceae","Tabebuia aurea","50, 54, 57",49.82,25,"Yellow, Yellow, Yellow","1, 1, 1","","Tabebuia aurea"
"1131","Malvaceae","Eriotheca gracilipes","51, 52",NA,23,"Cream, White","1, 1","","Eriotheca gracilipes"
"1132","Vochysiaceae","Vochysia rufa","51, 52",NA,30,"Yellow, Yellow","1, 1","","Vochysia rufa"
"1134","Vochysiaceae","Vochysia cinnamomea","51, 52, 57",13.27,41.1,"Yellow, Yellow, Yellow","1, 1, 1","","Vochysia cinnamomea"
"1135","Ericaceae","Gaylussacia brasiliensis","51, 53, 59, 71, 85",10.79,18.41,"Red, Pink, Pink, Red","3, 2, 2, 3","","Gaylussacia brasiliensis"
"1136","Orobanchaceae","Esterhazya splendida","51, 53, 61",26.8,18.52,"Red, Red, Orange","3, 3, 3","","Esterhazya splendida"
"1137","Gesneriaceae","Sinningia elatior","51, 62",32.68,24.67,"Orange, Red","3, 3","","Sinningia elatior"
"1138","Fabaceae","Bauhinia rufa","52, 56, 86",14,17.33,"White, Cream, White","1, 1, 1","","Bauhinia rufa"
"1139","Fabaceae","Bauhinia ungulata","52, 57",12,13.8,"White, White","1, 1","","Bauhinia ungulata"
"1140","Bromeliaceae","Dyckia leptostachya","52, 57",14.5,28.3,"Orange, Orange","3, 3","","Dyckia leptostachya"
"1141","Acanthaceae","Ruellia brevifolia","52, 58",30.9,21.35,"Red","3","","Ruellia brevifolia"
"1142","Acanthaceae","Aphelandra longiflora","52, 62",31.15,19.84,"Red, Red/Orange","3, 3","","Geissomeria longiflora"
"1143","Fabaceae","Bauhinia brevipes","52, 86",9.8,13.6,"White, White","1, 1","","Bauhinia brevipes"
"1144","Malvaceae","Helicteres brevispira","52, 86",23.2,15.95,"Yellow/Red, Red","2, 3","","Helicteres brevispira"
"1145","Vochysiaceae","Vochysia tucanorum","52, 86",12.7,24.6,"Yellow, Yellow","1, 1","","Vochysia tucanorum"
"1146","Ericaceae","Agarista coriifolia","53, 55",8.45,17.1,"Red, Red","3, 3","","Agarista coriifolia"
"1147","Asteraceae","Eremanthus erythropappus","53, 55",2.5,NA,"Pink, Purple","2, 1","","Eremanthus erythropappus"
"1148","Verbenaceae","Stachytarpheta glabra","53, 55",20.35,23.2,"Blue, Blue","1, 1","","Stachytarpheta glabra"
"1149","Gesneriaceae","Paliavana sericiflora","53, 55, 85",50.6,19.55,"Green/Red, Green, White","2, 1, 1","","Paliavana sericiflora"
"1150","Bromeliaceae","Tillandsia gardneri","53, 59, 60, 91",16.3,16.1,"Lilac, Red flower with lilac bract, Pink/Red, Pink","1, 2, 2, 2","","Tillandsia gardneri"
"1151","Bromeliaceae","Billbergia vittata","53, 60",40.37,22.22,"Purple/Pink, Red/Blue","1, 2 ","","Billbergia vittata"
"1152","Bromeliaceae","Billbergia amoena","53, 62, 73",38.87,20.22,"Green/Blue/Lilac, Red bacts with green/purple flowers","1, 2","","Billbergia amoena"
"1153","Orobanchaceae","Agalinis angustifolia","53, 85",33.81,20.62,"Pink, Pink","2, 2","","Agalinis angustifolia"
"1154","Velloziaceae","Barbacenia flava","53, 85",37.18,18.36,"Yellow, Yellow","1, 1","","Barbacenia flava"
"1155","Cactaceae","Cipocereus minensis","53, 85",43.45,NA,"White/Yellow/Lilac, White","1, 1","","Cipocereus minensis"
"1156","Bromeliaceae","Encholirium subsecundum","53, 85",5.16,13.7,"Green/Yellow, Yellow","1, 1","","Encholirium subsecundum"
"1157","Campanulaceae","Lobelia fistulosa","53, 92",29.65,16.4,"Lilac, Purple","1, 1","","Lobelia fistulosa"
"1158","Bignoniaceae","Cuspidaria lateriflora","54, 56",30.7,NA,"Lilac, Lilac","1, 1","","Cuspidaria lateriflora"
"1159","Lamiaceae","Vitex cymosa","54, 56",9.05,NA,"Lilac, Lilac","1, 1","","Vitex cymosa"
"1160","Bromeliaceae","Bromelia balansae","54, 56, 57, 86",36.6,20.27,"White/Red, White/Red, Red, Pink","2, 2, 3, 2","","Bromelia balansae"
"1161","Fabaceae","Cerradicola elliptica","54, 57",11.8,NA,"Red, Red","3, 3","","Camptosema ellipticum"
"1162","Asteraceae","Mutisia speciosa","58, 61, 62, 65, 66, 92",35.34,22.52,"Pink, Pink, Pink, Pink, Pink","2, 2, 2, 2, 2","","Mutisia speciosa"
"1163","Acanthaceae","Mendoncia coccinea","58, 62, 63, 67, 68, 70, 91",36.45,25.29,"Red, Red, Red, Magenta, Red, Red","3, 3, 3, 2, 3, 3","","Mendoncia coccinea"
"1164","Heliconiaceae","Heliconia angusta","58, 64, 65, 66, 91",33.1,31.25,"Red/White, Red/White, Red/White, Red/White","2, 2, 2, 2","","Heliconia angusta"
"1165","Bignoniaceae","Fridericia speciosa","58, 92",NA,NA,"Pink","3","","Fridericia speciosa"
"1166","Bromeliaceae","Tillandsia stricta","59, 61, 62, 67, 68, 69, 91, 92",16.04,21.83,"Purple/Pink, Blue/Pink, Mauve/Pink, Pink bracts with purple flowers, Pink, Blue-violet/Pink-red, Blue/Pink, Blue/Pink","1, 1, 1, 1, 2, 1, 1, 1","","Tillandsia stricta"
"1167","Cactaceae","Cylindropuntia imbricata","6, 7",25.3,3.1,"Pink","2","","Cylindropuntia imbricata"
"1168","Gesneriaceae","Nematanthus fornix","60, 61",28.05,22.15,"Red, Red","3, 3","","Nematanthus fornix"
"1169","Onagraceae","Fuchsia regia","60, 61, 62, 67, 68, 71, 72, 73, 92",24.18,14.42,"Red/Purple, Red/Purple, Red/Purple, Red/Purple, Red/Purple, Red/Purple","2, 2, 2, 2, 2, 2","","Fuchsia regia"
"1170","Bromeliaceae","Billbergia distachya","60, 61, 92",49.4,25.96,"Green/Blue/, Green/Pink, Green/Pink","1, 1, 1","","Billbergia distachya"
"1171","Bromeliaceae","Aechmea van-houtteana","60, 62",9.2,22.67,"Purple/Pink, Pink with small purple flowers","1, 1","","Aechmea van-houtteana"
"1172","Campanulaceae","Siphocampylus longipedunculatus","60, 62",32.9,23.72,"Red/Yellow, Red","2, 3","","Siphocampylus longipedunculatus"
"1173","Gesneriaceae","Sinningia cooperi","60, 62, 92",25.55,23.4,"Red, Red, Red","3, 3, 3","","Sinningia cooperi"
"1174","Alstroemeriaceae","Bomarea edulis","60, 63, 66, 92",20.3,21.1,"Rosa/Green, Pink, Pink, Pink, Pink/Green","2, 2, 2, 2, 1","","Bomarea edulis"
"1175","Lamiaceae","Salvia sellowiana","60, 67",43.05,26.34,"Bluish Pink, Red","2, 3","","Salvia sellowiana"
"1176","Bromeliaceae","Aechmea distichantha","61, 62, 65, 66, 69, 91, 92",15.02,24.14,"Violet/Red, Red, Pink/Purple, Pink/violet, Pink/Blue-Violet, Blue/Red, Blue/Red","2, 3, 1, 1, 1, 2, 2","","Aechmea distichantha"
"1177","Alstroemeriaceae","Alstroemeria inodora","61, 62, 67",20.35,17.16,"Orange, Dark red, Red/Orange","3, 3, 3","","Alstroemeria inodora"
"1178","Scrophulariaceae","Buddleja stachyoides","61, 67, 91, 92",9.3,18.9,"Yellow, Yellow, Yellow, Yellow","1, 1, 1, 1","","Buddleja brasiliensis"
"1179","Bromeliaceae","Wittrockia cyathiformis","61, 68, 92",44.1,NA,"","","",""
"1180","Gesneriaceae","Sinningia douglasii","61, 73, 92",32.8,26.9,"Pink/Purple, Pink/Purple","1, 1","","Sinningia douglasii"
"1181","Fabaceae","Betencourtia scarlatina","61, 92",29.7,25.1,"Red, Red","3, 3","","Camptosema scarlatinum"
"1182","Fabaceae","Collaea speciosa","61, 92",28.6,24.6,"Red, Red","3, 3","","Collaea speciosa"
"1183","Bromeliaceae","Nidularium marigoi","61, 92",43.7,29.5,"Pink/Red, Pink/Red","2, 2","","Nidularium marigoi"
"1184","Campanulaceae","Siphocampylus sulfureus","61, 92",25.1,14.2,"Yellow, Yellow","1, 1","","Siphocampylus sulfureus"
"1185","Cannaceae","Canna paniculata","62, 63",32.5,20,"Orange, Orange","3, 3","","Canna paniculata"
"1186","Gesneriaceae","Besleria longimucronata","62, 63, 64",17.93,16.95,"Yellow/White, Yellow, Yellow","1, 1, 1","","Besleria longimucronata"
"1187","Bromeliaceae","Tillandsia geminiflora","62, 63, 66, 69, 91, 92",13.7,18.75,"Pink, Pink, Pink, White/Red, Pink, Pink","2, 2, 2, 2, 2, 2","","Tillandsia geminiflora"
"1188","Bromeliaceae","Nidularium innocentii","62, 64, 65, 66, 67, 69, 70, 71, 72, 73, 91",49.3,32.48,"White/Red, White/Red, White/Red, White/Red, White/Red, White","2, 2, 2, 2, 2, 2","","Nidularium innocentii"
"1189","Gesneriaceae","Nematanthus fluminensis","62, 64, 65, 66, 91",47.55,26.43,"Yellow, Yellow, Yellow, Yellow, Yellow/Red","1, 1, 1, 1, 2","","Nematanthus fluminensis"
"1190","Loranthaceae","Psittacanthus dichrous","62, 65, 66, 68, 91, 92",26.9,22.8,"Orange/Yellow, Orange, Orange, Red/Yellow, Red/Yellow","2, 3, 3, 2, 2","","Psittacanthus dichrous"
"1191","Bromeliaceae","Nidularium procerum","62, 65, 70, 91",44.18,31.92,"Blue flowers with red bracts, Blue/Red, Blue/Pink, White","2, 2, 1, 1 ","","Nidularium procerum"
"1192","Gesneriaceae","Nematanthus gregarius","62, 67, 68",29.87,22.4,"Orange, Orange, Orange","3, 3, 3","","Nematanthus gregarius"
"1193","Bromeliaceae","Vriesea incurvata","62, 67, 69, 70, 72, 73, 91",38.45,26.14,"Red bracts with yellow flowers, Yellow/Red, Yellow/Red, Yellow/Red, Yellow/Red","2, 2, 2, 2, 2","","Vriesea incurvata"
"1194","Gesneriaceae","Nematanthus fritschii","62, 67, 91",29.9,25.5,"Pink, Red, Pink/Red","2, 3, 2","","Nematanthus fritschii"
"1195","Bromeliaceae","Hohenbergia augusta","62, 68",15.4,NA,"Pink/White bracts with small white flowers","2","","Canistrum fragrans"
"1196","Malvaceae","Spirotheca rivieri","62, 68, 72, 92",25.85,6.02,"Red, Red, Orange","3, 3, 3","","Spirotheca rivieri"
"1197","Bromeliaceae","Aechmea organensis","62, 69",14.3,19.32,"Pink with small purple flowers, Pink/Blue-violet","1, 1","","Aechmea organensis"
"1198","Bromeliaceae","Vriesea erythrodactylon","62, 73",42.8,27,"Green/Red bracts with yellow flowers","2","","Vriesea erythrodactylon"
"1199","Acanthaceae","Justicia brasiliana","62, 73, 74",20.5,15.83,"Pink, Red","2, 3","","Justicia brasiliana"
"1200","Malvaceae","Callianthe rufinerva","62, 92",9.9,13.55,"Pink, Pink","2, 2","","Bakeridesia rufinervis"
"1201","Gesneriaceae","Nematanthus sericeus","62, 92",27.5,23,"Orange, Red","3, 3","","Nematanthus sericeus"
"1202","Fabaceae","Inga marginata","63, 64",3.7,6.2,"White, White","1, 1","","Inga semialata"
"1203","Rubiaceae","Psychotria nuda","63, 64, 65, 66, 70, 91",23.15,17.8,"Yellow/Red, Yellow/Red, Yellow/Red, Yellow/Red, Yellow/Red, Yellow","2, 2, 2, 2, 2, 1","","Psychotria nuda"
"1204","Bromeliaceae","Vriesea rodigasiana","63, 64, 65, 68, 91",30.13,25.03,"Yellow/Red, Yellow/Red, Yellow/Red, Yellow, Yellow/Red","2, 2, 2, 1, 2","","Vriesea rodigasiana"
"1205","Fabaceae","Dahlstedtia pinnata","63, 64, 66, 67, 68, 70, 91",34.04,18.91,"Pink, Pink, Pink, Red, Magenta, Red","2, 2, 2, 3, 2, 3","","Dahlstedtia pinnata"
"1206","Heliconiaceae","Heliconia farinosa","63, 64, 67, 69, 70, 72, 73, 91",33.43,23.23,"Red/Yellow, Red/Yellow, Red/Green, Red/Yellow, Red/Yellow, Red bracts and small yellow flowers","2, 2, 2, 2, 2, 3","","Heliconia farinosa"
"1207","Bromeliaceae","Neoregelia johannis","63, 64, 91",21.85,35.15,"White flowers with pink bracts, White/Green/Red","1, 2","","Neoregelia johannis"
"1208","Rubiaceae","Sabicea grisea","63, 65, 66",15.1,24.35,"White, White, White","1, 1, 1","","Sabicea grisea"
"1209","Heliconiaceae","Heliconia spathocircinata","63, 65, 91",33.03,26,"Red/Yellow, Red/Yellow","2, 2","","Heliconia spathocircinata"
"1210","Verbenaceae","Stachytarpheta cayennensis","63, 66, 70, 95, 99, 100, 101",6.58,26.2,"Blue, Blue, Purple, Purple, White, Purple, Purple","1, 1, 1, 1, 1, 1, 1","","Stachytarpheta cayennensis"
"1211","Solanaceae","Iochroma arborescens","63, 70",8.19,11.9,"White, White","1,1","","Acnistus arborescens"
"1212","Bromeliaceae","Canistropsis seidelii","64, 65, 66, 91",27.85,22.1,"White/Yellow, White/Yellow, White/Yellow","1, 1, 1","","Nidularium seidelii"
