"","family","species","network","corolla","nectar","color","colorCode","introduced","speciesOld"
"341","Bromeliaceae","Goudaea chrysostachys","34",23.4,23.8,"Yellow","1","","Vriesea chrysostachys"
"342","Cucurbitaceae","Gurania rufipila","34",18.7,13.2,"Orange","3","","Gurania rufipila"
"343","Heliconiaceae","Heliconia acuminata","34",49.55,22.1,"Yellow","1","","Heliconia acuminata"
"344","Marantaceae","Ischnosiphon lasiocoleus","34",30.2,NA,"White","1","","Ischnosiphon lasiocoleus"
"345","Rubiaceae","Isertia hypoleuca","34",63,27.4,"Red","3","","Isertia hypoleuca"
"346","Rubiaceae","Isertia rosea","34",49.8,NA,"Rose","2","","Isertia rosea"
"347","Acanthaceae","Justicia cuatrecasasii","34",25.4,26.9,"White","1","","Justicia cuatrecasasii"
"348","Solanaceae","Markea coccinea","34",38.7,28.5,"Orange","3","","Markea coccinea"
"349","Marantaceae","Monotagma secundum","34",19.7,19.7,"Rose flowers/Red bracts","3","","Monotagma secundum"
"350","Gesneriaceae","Nematanthus savannarum","34",20.8,21.8,"Yellow flowers/Red bracts","2","","Nematanthus savannarum"
"351","Rubiaceae","Palicourea dichotoma","34",7.9,25.9,"White","1","","Psychotria platypoda"
"352","Rubiaceae","Palicourea nigricans","34",26.2,NA,"Violet","1","","Palicourea nigricans"
"353","Rubiaceae","Palicourea quadrifolia","34",9.9,22,"Yellow","1","","Palicourea quadrifolia"
"354","Rubiaceae","Palicourea subspicata","34",15.1,NA,"Orange","3","","Palicourea subspicata"
"355","Passifloraceae","Passiflora skiantha","34",20.1,29.5,"Rose","2","","Passiflora skiantha"
"356","Passifloraceae","Passiflora vitifolia","34",30.2,29.4,"Red","3","","Passiflora vitifolia"
"357","Violaceae","Paypayrola hulkiana","34",11.9,29.3,"Yellow","1","","Paypayrola hulkiana"
"358","Bromeliaceae","Pitcairnia sprucei","34",50.9,25.6,"Red","3","","Pitcairnia sprucei"
"360","Rubiaceae","Retiniphyllum speciosum","34",25.2,21.8,"Rose","2","","Retiniphyllum speciosum"
"361","Salicaceae","Ryania pyrifera","34",5.05,24.7,"Rose","2","","Ryania pyrifera"
"362","Ericaceae","Satyria panurensis","34",26.7,25.6,"Green/Red","2","","Satyria panurensis"
"363","Apocynaceae","Tabernaemontana macrocalyx","34",22.5,27.9,"Cream ","1","","Tabernaemontana macrocalyx"
"364","Gentianaceae","Tachia occidentalis","34",51.1,20.1,"Yellow","1","","Tachia occidentalis"
"365","Fabaceae","Zygia lathetica","34",20,15.3,"White","1","","Zygia lathetica"
